Model,RMSE,MAE,Score
TCN,75.59192169337892,62.87175672743055,138.46367842080946
TCN-Transformer,100.41225002436273,89.7122532823351,190.12450330669782
Transformer,112.17712086124587,100.69249484592017,212.86961570716602
PatchTST,146.48319301817335,133.40102254231772,279.88421556049104
XGBoost,162.6180563056269,151.21876708984377,313.8368233954707
LightGBM,178.16779579466365,165.38542805989584,343.5532238545595
ARIMA,180.37646497396324,168.75653781467014,349.13300278863335
LSTM,180.63848159822433,172.2383154296875,352.87679702791183
Informer,189.95931212217278,174.67899319118928,364.638305313362
GRU,305.399316251373,284.0034894476996,589.4028056990726
